candle_end_time,open,close,high,low,volume
2020-04-14 11:12:00,4.49,4.50,4.50,4.49,1003.00
2020-04-14 11:13:00,4.50,4.49,4.50,4.49,1804.00
2020-04-14 11:14:00,4.49,4.49,4.50,4.49,379.00
2020-04-14 11:15:00,4.49,4.49,4.50,4.49,543.00
2020-04-14 11:16:00,4.49,4.50,4.50,4.49,291.00
2020-04-14 11:17:00,4.50,4.49,4.50,4.49,156.00
2020-04-14 11:18:00,4.49,4.50,4.50,4.49,803.00
2020-04-14 11:19:00,4.50,4.49,4.50,4.49,998.00
2020-04-14 11:20:00,4.49,4.49,4.50,4.49,2857.00
2020-04-14 11:21:00,4.49,4.49,4.50,4.49,320.00
2020-04-14 11:22:00,4.49,4.49,4.50,4.49,551.00
2020-04-14 11:23:00,4.49,4.50,4.50,4.49,756.00
2020-04-14 11:24:00,4.50,4.49,4.50,4.49,472.00
2020-04-14 11:25:00,4.49,4.49,4.49,4.49,516.00
2020-04-14 11:26:00,4.49,4.49,4.50,4.49,83.00
2020-04-14 11:27:00,4.49,4.49,4.50,4.49,382.00
2020-04-14 11:28:00,4.49,4.49,4.50,4.49,858.00
2020-04-14 11:29:00,4.49,4.49,4.50,4.49,1336.00
2020-04-14 11:30:00,4.49,4.49,4.49,4.49,4.00
2020-04-14 13:01:00,4.49,4.49,4.50,4.48,40108.00
2020-04-14 13:02:00,4.49,4.49,4.49,4.48,6975.00
2020-04-14 13:03:00,4.49,4.49,4.50,4.48,10512.00
2020-04-14 13:04:00,4.49,4.48,4.49,4.48,2104.00
2020-04-14 13:05:00,4.48,4.49,4.49,4.48,761.00
2020-04-14 13:06:00,4.49,4.48,4.49,4.48,645.00
2020-04-14 13:07:00,4.48,4.48,4.49,4.48,50869.00
2020-04-14 13:08:00,4.48,4.48,4.49,4.48,3650.00
2020-04-14 13:09:00,4.48,4.48,4.49,4.48,737.00
2020-04-14 13:10:00,4.48,4.49,4.49,4.48,3807.00
2020-04-14 13:11:00,4.49,4.49,4.49,4.48,780.00
2020-04-14 13:12:00,4.49,4.48,4.49,4.48,2518.00
2020-04-14 13:13:00,4.48,4.49,4.49,4.48,2983.00
2020-04-14 13:14:00,4.49,4.48,4.49,4.48,1623.00
2020-04-14 13:15:00,4.48,4.49,4.49,4.48,755.00
2020-04-14 13:16:00,4.49,4.49,4.49,4.48,916.00
2020-04-14 13:17:00,4.48,4.48,4.49,4.48,4370.00
2020-04-14 13:18:00,4.48,4.49,4.49,4.48,3997.00
2020-04-14 13:19:00,4.49,4.48,4.49,4.48,6847.00
2020-04-14 13:20:00,4.48,4.49,4.49,4.48,1079.00
2020-04-14 13:21:00,4.48,4.48,4.49,4.48,1131.00
2020-04-14 13:22:00,4.48,4.48,4.49,4.48,1369.00
2020-04-14 13:23:00,4.48,4.49,4.49,4.48,3423.00
2020-04-14 13:24:00,4.48,4.49,4.49,4.48,20419.00
2020-04-14 13:25:00,4.48,4.48,4.49,4.48,14638.00
2020-04-14 13:26:00,4.48,4.49,4.49,4.48,1760.00
2020-04-14 13:27:00,4.49,4.49,4.49,4.48,19124.00
2020-04-14 13:28:00,4.49,4.48,4.49,4.48,5093.00
2020-04-14 13:29:00,4.49,4.48,4.49,4.48,5985.00
2020-04-14 13:30:00,4.49,4.48,4.49,4.48,1409.00
2020-04-14 13:31:00,4.49,4.49,4.49,4.48,3506.00
2020-04-14 13:32:00,4.49,4.49,4.50,4.48,56089.00
2020-04-14 13:33:00,4.49,4.49,4.50,4.49,258.00
2020-04-14 13:34:00,4.49,4.50,4.50,4.49,691.00
2020-04-14 13:35:00,4.50,4.50,4.50,4.49,986.00
2020-04-14 13:36:00,4.50,4.50,4.50,4.49,1027.00
2020-04-14 13:37:00,4.50,4.50,4.50,4.49,4521.00
2020-04-14 13:38:00,4.50,4.49,4.50,4.49,1636.00
2020-04-14 13:39:00,4.49,4.50,4.50,4.49,451.00
2020-04-14 13:40:00,4.49,4.49,4.50,4.49,1068.00
2020-04-14 13:41:00,4.49,4.50,4.50,4.49,893.00
2020-04-14 13:42:00,4.50,4.50,4.50,4.49,3117.00
2020-04-14 13:43:00,4.50,4.49,4.50,4.49,1985.00
2020-04-14 13:44:00,4.49,4.50,4.50,4.49,206.00
2020-04-14 13:45:00,4.50,4.49,4.50,4.49,3097.00
2020-04-14 13:46:00,4.49,4.49,4.50,4.49,4311.00
2020-04-14 13:47:00,4.49,4.49,4.50,4.49,3148.00
2020-04-14 13:48:00,4.49,4.50,4.50,4.49,493.00
2020-04-14 13:49:00,4.50,4.49,4.50,4.49,1730.00
2020-04-14 13:50:00,4.49,4.49,4.50,4.49,650.00
2020-04-14 13:51:00,4.49,4.49,4.50,4.49,1286.00
2020-04-14 13:52:00,4.49,4.49,4.50,4.49,1616.00
2020-04-14 13:53:00,4.49,4.49,4.50,4.49,983.00
2020-04-14 13:54:00,4.49,4.49,4.50,4.49,732.00
2020-04-14 13:55:00,4.49,4.49,4.50,4.49,1152.00
2020-04-14 13:56:00,4.49,4.50,4.50,4.49,1331.00
2020-04-14 13:57:00,4.50,4.50,4.50,4.49,2102.00
2020-04-14 13:58:00,4.50,4.49,4.50,4.49,632.00
2020-04-14 13:59:00,4.49,4.50,4.50,4.49,1776.00
2020-04-14 14:00:00,4.49,4.49,4.50,4.49,746.00
2020-04-14 14:01:00,4.49,4.50,4.50,4.49,1437.00
2020-04-14 14:02:00,4.50,4.49,4.50,4.49,593.00
2020-04-14 14:03:00,4.49,4.49,4.50,4.49,1149.00
2020-04-14 14:04:00,4.49,4.49,4.50,4.49,7987.00
2020-04-14 14:05:00,4.49,4.49,4.50,4.49,9824.00
2020-04-14 14:06:00,4.49,4.49,4.50,4.49,5224.00
2020-04-14 14:07:00,4.49,4.49,4.50,4.49,3672.00
2020-04-14 14:08:00,4.49,4.49,4.50,4.49,2370.00
2020-04-14 14:09:00,4.50,4.50,4.50,4.49,2915.00
2020-04-14 14:10:00,4.50,4.50,4.50,4.49,2654.00
2020-04-14 14:11:00,4.50,4.50,4.50,4.49,2066.00
2020-04-14 14:12:00,4.50,4.50,4.50,4.49,3778.00
2020-04-14 14:13:00,4.50,4.50,4.50,4.49,3978.00
2020-04-14 14:14:00,4.50,4.50,4.50,4.49,15886.00
2020-04-14 14:15:00,4.49,4.50,4.50,4.49,1629.00
2020-04-14 14:16:00,4.49,4.50,4.50,4.49,2675.00
2020-04-14 14:17:00,4.49,4.50,4.50,4.49,1556.00
